id,pokedex_number,name,generation,status,species,type_number,type_1,type_2,height_m,weight_kg,abilities_number,ability_1,ability_2,ability_hidden,total_points,hp,attack,defense,sp_attack,sp_defense,speed,catch_rate,base_friendship,base_experience,growth_rate,against_normal,against_fire,against_water,against_electric,against_grass,against_ice,against_fight,against_poison,against_ground,against_flying,against_psychic,against_bug,against_rock,against_ghost,against_dragon,against_dark,against_steel,against_fairy
493,410,Shieldon,4,Normal,Shield,2,Rock,Steel,0.5,57.0,2,Sturdy,None,Soundproof,350,30,42,118,42,88,30,45.0,70.0,70.0,Erratic,0.25,1.0,2.0,1.0,1.0,0.5,4.0,0.0,4.0,0.25,0.5,0.5,0.5,1.0,0.5,1.0,1.0,0.5
494,411,Bastiodon,4,Normal,Shield,2,Rock,Steel,1.3,149.5,2,Sturdy,None,Soundproof,495,60,52,168,47,138,30,45.0,70.0,173.0,Erratic,0.25,1.0,2.0,1.0,1.0,0.5,4.0,0.0,4.0,0.25,0.5,0.5,0.5,1.0,0.5,1.0,1.0,0.5
495,412,Burmy,4,Normal,Bagworm,1,Bug,None,0.2,3.4,2,Shed Skin,None,Overcoat,224,40,29,45,29,45,36,120.0,70.0,45.0,Medium Fast,1.0,2.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
496,413,Wormadam Plant Cloak,4,Normal,Bagworm,2,Bug,Grass,0.5,6.5,2,Anticipation,None,Overcoat,424,60,59,85,79,105,36,45.0,70.0,148.0,Medium Fast,1.0,4.0,0.5,0.5,0.25,2.0,0.5,2.0,0.25,4.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0
497,413,Wormadam Sandy Cloak,4,Normal,Bagworm,2,Bug,Ground,0.5,6.5,2,Anticipation,None,Overcoat,424,60,79,105,59,85,36,45.0,70.0,148.0,Medium Fast,1.0,2.0,2.0,0.0,1.0,2.0,0.5,0.5,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
498,413,Wormadam Trash Cloak,4,Normal,Bagworm,2,Bug,Steel,0.5,6.5,2,Anticipation,None,Overcoat,424,60,69,95,69,95,36,45.0,70.0,148.0,Medium Fast,0.5,4.0,1.0,1.0,0.25,0.5,1.0,0.0,1.0,1.0,0.5,0.5,1.0,1.0,0.5,1.0,0.5,0.5
499,414,Mothim,4,Normal,Moth,2,Bug,Flying,0.9,23.3,2,Swarm,None,Tinted Lens,424,70,94,50,94,50,66,45.0,70.0,148.0,Medium Fast,1.0,2.0,1.0,2.0,0.25,2.0,0.25,1.0,0.0,2.0,1.0,0.5,4.0,1.0,1.0,1.0,1.0,1.0
500,415,Combee,4,Normal,Tiny Bee,2,Bug,Flying,0.3,5.5,2,Honey Gather,None,Hustle,244,30,30,42,30,42,70,120.0,70.0,49.0,Medium Slow,1.0,2.0,1.0,2.0,0.25,2.0,0.25,1.0,0.0,2.0,1.0,0.5,4.0,1.0,1.0,1.0,1.0,1.0
501,416,Vespiquen,4,Normal,Beehive,2,Bug,Flying,1.2,38.5,2,Pressure,None,Unnerve,474,70,80,102,80,102,40,45.0,70.0,166.0,Medium Slow,1.0,2.0,1.0,2.0,0.25,2.0,0.25,1.0,0.0,2.0,1.0,0.5,4.0,1.0,1.0,1.0,1.0,1.0
502,417,Pachirisu,4,Normal,EleSquirrel,1,Electric,None,0.4,3.9,3,Run Away,Pickup,Volt Absorb,405,60,45,70,45,90,95,200.0,100.0,142.0,Medium Fast,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
503,418,Buizel,4,Normal,Sea Weasel,1,Water,None,0.7,29.5,2,Swift Swim,None,Water Veil,330,55,65,35,60,30,85,190.0,70.0,66.0,Medium Fast,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
504,419,Floatzel,4,Normal,Sea Weasel,1,Water,None,1.1,33.5,2,Swift Swim,None,Water Veil,495,85,105,55,85,50,115,75.0,70.0,173.0,Medium Fast,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
505,420,Cherubi,4,Normal,Cherry,1,Grass,None,0.4,3.3,1,Chlorophyll,None,None,275,45,35,45,62,53,35,190.0,70.0,55.0,Medium Fast,1.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
506,421,Cherrim,4,Normal,Blossom,1,Grass,None,0.5,9.3,1,Flower Gift,None,None,450,70,60,70,87,78,85,75.0,70.0,158.0,Medium Fast,1.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
507,422,Shellos,4,Normal,Sea Slug,1,Water,None,0.3,6.3,3,Sticky Hold,Storm Drain,Sand Force,325,76,48,48,57,62,34,190.0,70.0,65.0,Medium Fast,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
508,423,Gastrodon,4,Normal,Sea Slug,2,Water,Ground,0.9,29.9,3,Sticky Hold,Storm Drain,Sand Force,475,111,83,68,92,82,39,75.0,70.0,166.0,Medium Fast,1.0,0.5,1.0,0.0,4.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0
509,424,Ambipom,4,Normal,Long Tail,1,Normal,None,1.2,20.3,3,Technician,Pickup,Skill Link,482,75,100,66,60,66,115,45.0,100.0,169.0,Fast,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
510,425,Drifloon,4,Normal,Balloon,2,Ghost,Flying,0.4,1.2,3,Aftermath,Unburden,Flare Boost,348,90,50,34,60,44,70,125.0,70.0,70.0,Fluctuating,0.0,1.0,1.0,2.0,0.5,2.0,0.0,0.5,0.0,1.0,1.0,0.25,2.0,2.0,1.0,2.0,1.0,1.0
511,426,Drifblim,4,Normal,Blimp,2,Ghost,Flying,1.2,15.0,3,Aftermath,Unburden,Flare Boost,498,150,80,44,90,54,80,60.0,70.0,174.0,Fluctuating,0.0,1.0,1.0,2.0,0.5,2.0,0.0,0.5,0.0,1.0,1.0,0.25,2.0,2.0,1.0,2.0,1.0,1.0
512,427,Buneary,4,Normal,Rabbit,1,Normal,None,0.4,5.5,3,Run Away,Klutz,Limber,350,55,66,44,44,56,85,190.0,0.0,70.0,Medium Fast,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
513,428,Lopunny,4,Normal,Rabbit,1,Normal,None,1.2,33.3,3,Cute Charm,Klutz,Limber,480,65,76,84,54,96,105,60.0,140.0,168.0,Medium Fast,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
514,428,Mega Lopunny,4,Normal,Rabbit,2,Normal,Fighting,1.3,28.3,1,Scrappy,None,None,580,65,136,94,54,96,135,60.0,140.0,203.0,Medium Fast,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,0.5,0.5,0.0,1.0,0.5,1.0,2.0
515,429,Mismagius,4,Normal,Magical,1,Ghost,None,0.9,4.4,1,Levitate,None,None,495,60,60,60,105,105,105,45.0,35.0,173.0,Fast,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,1.0,1.0,0.5,1.0,2.0,1.0,2.0,1.0,1.0
516,430,Honchkrow,4,Normal,Big Boss,2,Dark,Flying,0.9,27.3,3,Insomnia,Super Luck,Moxie,505,100,125,52,105,52,71,30.0,35.0,177.0,Medium Slow,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,0.5,1.0,0.5,1.0,2.0
517,431,Glameow,4,Normal,Catty,1,Normal,None,0.5,3.9,3,Limber,Own Tempo,Keen Eye,310,49,55,42,42,37,85,190.0,70.0,62.0,Fast,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
518,432,Purugly,4,Normal,Tiger Cat,1,Normal,None,1.0,43.8,3,Thick Fat,Own Tempo,Defiant,452,71,82,64,64,59,112,75.0,70.0,158.0,Fast,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
519,433,Chingling,4,Normal,Bell,1,Psychic,None,0.2,0.6,1,Levitate,None,None,285,45,30,50,65,50,45,120.0,70.0,57.0,Fast,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0
520,434,Stunky,4,Normal,Skunk,2,Poison,Dark,0.4,19.2,3,Stench,Aftermath,Keen Eye,329,63,63,47,41,41,74,225.0,70.0,66.0,Medium Fast,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,2.0,1.0,0.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0
521,435,Skuntank,4,Normal,Skunk,2,Poison,Dark,1.0,38.0,3,Stench,Aftermath,Keen Eye,479,103,93,67,71,61,84,60.0,70.0,168.0,Medium Fast,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,2.0,1.0,0.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0
522,436,Bronzor,4,Normal,Bronze,2,Steel,Psychic,0.5,60.5,3,Levitate,Heatproof,Heavy Metal,300,57,24,86,24,86,23,255.0,70.0,60.0,Medium Fast,0.5,2.0,1.0,1.0,0.5,0.5,1.0,0.0,0.0,0.5,0.25,1.0,0.5,2.0,0.5,2.0,0.5,0.5
523,437,Bronzong,4,Normal,Bronze Bell,2,Steel,Psychic,1.3,187.0,3,Levitate,Heatproof,Heavy Metal,500,67,89,116,79,116,33,90.0,70.0,175.0,Medium Fast,0.5,2.0,1.0,1.0,0.5,0.5,1.0,0.0,0.0,0.5,0.25,1.0,0.5,2.0,0.5,2.0,0.5,0.5
524,438,Bonsly,4,Normal,Bonsai,1,Rock,None,0.5,15.0,3,Sturdy,Rock Head,Rattled,290,50,80,95,10,45,10,255.0,70.0,58.0,Medium Fast,0.5,0.5,2.0,1.0,2.0,1.0,2.0,0.5,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0
525,439,Mime Jr.,4,Normal,Mime,2,Psychic,Fairy,0.6,13.0,3,Soundproof,Filter,Technician,310,20,25,45,70,90,60,145.0,70.0,62.0,Medium Fast,1.0,1.0,1.0,1.0,1.0,1.0,0.25,2.0,1.0,1.0,0.5,1.0,1.0,2.0,0.0,1.0,2.0,1.0
526,440,Happiny,4,Normal,Playhouse,1,Normal,None,0.6,24.4,3,Natural Cure,Serene Grace,Friend Guard,220,100,5,5,15,65,30,130.0,140.0,110.0,Fast,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
527,441,Chatot,4,Normal,Music Note,2,Normal,Flying,0.5,1.9,3,Keen Eye,Tangled Feet,Big Pecks,411,76,65,45,92,42,91,30.0,35.0,144.0,Medium Slow,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0
528,442,Spiritomb,4,Normal,Forbidden,2,Ghost,Dark,1.0,108.0,2,Pressure,None,Infiltrator,485,50,92,108,92,108,35,100.0,70.0,170.0,Medium Fast,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
529,443,Gible,4,Normal,Land Shark,2,Dragon,Ground,0.7,20.5,2,Sand Veil,None,Rough Skin,300,58,70,45,40,45,42,45.0,70.0,60.0,Slow,1.0,0.5,1.0,0.0,1.0,4.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,2.0
530,444,Gabite,4,Normal,Cave,2,Dragon,Ground,1.4,56.0,2,Sand Veil,None,Rough Skin,410,68,90,65,50,55,82,45.0,70.0,144.0,Slow,1.0,0.5,1.0,0.0,1.0,4.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,2.0
531,445,Garchomp,4,Normal,Mach,2,Dragon,Ground,1.9,95.0,2,Sand Veil,None,Rough Skin,600,108,130,95,80,85,102,45.0,70.0,270.0,Slow,1.0,0.5,1.0,0.0,1.0,4.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,2.0
532,445,Mega Garchomp,4,Normal,Mach,2,Dragon,Ground,1.9,95.0,1,Sand Force,None,None,700,108,170,115,120,95,92,45.0,70.0,315.0,Slow,1.0,0.5,1.0,0.0,1.0,4.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,2.0
533,446,Munchlax,4,Normal,Big Eater,1,Normal,None,0.6,105.0,3,Pickup,Thick Fat,Gluttony,390,135,85,40,40,85,5,50.0,70.0,78.0,Slow,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
534,447,Riolu,4,Normal,Emanation,1,Fighting,None,0.7,20.2,3,Steadfast,Inner Focus,Prankster,285,40,70,40,35,40,60,75.0,70.0,57.0,Medium Slow,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0
535,448,Lucario,4,Normal,Aura,2,Fighting,Steel,1.2,54.0,3,Steadfast,Inner Focus,Justified,525,70,110,70,115,70,90,45.0,70.0,184.0,Medium Slow,0.5,2.0,1.0,1.0,0.5,0.5,2.0,0.0,2.0,1.0,1.0,0.25,0.25,1.0,0.5,0.5,0.5,1.0
536,448,Mega Lucario,4,Normal,Aura,2,Fighting,Steel,1.3,57.5,1,Adaptability,None,None,625,70,145,88,140,70,112,45.0,70.0,219.0,Medium Slow,0.5,2.0,1.0,1.0,0.5,0.5,2.0,0.0,2.0,1.0,1.0,0.25,0.25,1.0,0.5,0.5,0.5,1.0
537,449,Hippopotas,4,Normal,Hippo,1,Ground,None,0.8,49.5,2,Sand Stream,None,Sand Force,330,68,72,78,38,42,32,140.0,70.0,66.0,Slow,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0
538,450,Hippowdon,4,Normal,Heavyweight,1,Ground,None,2.0,300.0,2,Sand Stream,None,Sand Force,525,108,112,118,68,72,47,60.0,70.0,184.0,Slow,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0
539,451,Skorupi,4,Normal,Scorpion,2,Poison,Bug,0.8,12.0,3,Battle Armor,Sniper,Keen Eye,330,40,50,90,30,55,65,120.0,70.0,66.0,Slow,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5
540,452,Drapion,4,Normal,Ogre Scorp,2,Poison,Dark,1.3,61.5,3,Battle Armor,Sniper,Keen Eye,500,70,90,110,60,75,95,45.0,70.0,175.0,Slow,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,2.0,1.0,0.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0
541,453,Croagunk,4,Normal,Toxic Mouth,2,Poison,Fighting,0.7,23.0,3,Anticipation,Dry Skin,Poison Touch,300,48,61,40,61,40,50,140.0,100.0,60.0,Medium Fast,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,2.0,4.0,0.25,0.5,1.0,1.0,0.5,1.0,1.0
542,454,Toxicroak,4,Normal,Toxic Mouth,2,Poison,Fighting,1.3,44.4,3,Anticipation,Dry Skin,Poison Touch,490,83,106,65,86,65,85,75.0,70.0,172.0,Medium Fast,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,2.0,4.0,0.25,0.5,1.0,1.0,0.5,1.0,1.0
543,455,Carnivine,4,Normal,Bug Catcher,1,Grass,None,1.4,27.0,1,Levitate,None,None,454,74,100,72,90,72,46,200.0,70.0,159.0,Slow,1.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
544,456,Finneon,4,Normal,Wing Fish,1,Water,None,0.4,7.0,3,Swift Swim,Storm Drain,Water Veil,330,49,49,56,49,61,66,190.0,70.0,66.0,Erratic,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
545,457,Lumineon,4,Normal,Neon,1,Water,None,1.2,24.0,3,Swift Swim,Storm Drain,Water Veil,460,69,69,76,69,86,91,75.0,70.0,161.0,Erratic,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
546,458,Mantyke,4,Normal,Kite,2,Water,Flying,1.0,65.0,3,Swift Swim,Water Absorb,Water Veil,345,45,20,50,60,120,50,25.0,70.0,69.0,Slow,1.0,0.5,0.5,4.0,1.0,1.0,0.5,1.0,0.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0
547,459,Snover,4,Normal,Frost Tree,2,Grass,Ice,1.0,50.5,2,Snow Warning,None,Soundproof,334,60,62,50,62,60,40,120.0,70.0,67.0,Slow,1.0,4.0,0.5,0.5,0.5,1.0,2.0,2.0,0.5,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0
548,460,Abomasnow,4,Normal,Frost Tree,2,Grass,Ice,2.2,135.5,2,Snow Warning,None,Soundproof,494,90,92,75,92,85,60,60.0,70.0,173.0,Slow,1.0,4.0,0.5,0.5,0.5,1.0,2.0,2.0,0.5,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0
549,460,Mega Abomasnow,4,Normal,Frost Tree,2,Grass,Ice,2.7,185.0,1,Snow Warning,None,None,594,90,132,105,132,105,30,60.0,70.0,208.0,Slow,1.0,4.0,0.5,0.5,0.5,1.0,2.0,2.0,0.5,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0
550,461,Weavile,4,Normal,Sharp Claw,2,Dark,Ice,1.1,34.0,2,Pressure,None,Pickpocket,510,70,120,65,45,85,125,45.0,35.0,179.0,Medium Slow,1.0,2.0,1.0,1.0,1.0,0.5,4.0,1.0,1.0,1.0,0.0,2.0,2.0,0.5,1.0,0.5,2.0,2.0
551,462,Magnezone,4,Normal,Magnet Area,2,Electric,Steel,1.2,180.0,3,Magnet Pull,Sturdy,Analytic,535,70,70,115,130,90,60,30.0,70.0,241.0,Medium Fast,0.5,2.0,1.0,0.5,0.5,0.5,2.0,0.0,4.0,0.25,0.5,0.5,0.5,1.0,0.5,1.0,0.25,0.5
552,463,Lickilicky,4,Normal,Licking,1,Normal,None,1.7,140.0,3,Own Tempo,Oblivious,Cloud Nine,515,110,85,95,80,95,50,30.0,70.0,180.0,Medium Fast,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
553,464,Rhyperior,4,Normal,Drill,2,Ground,Rock,2.4,282.8,3,Lightning Rod,Solid Rock,Reckless,535,115,140,130,55,55,40,30.0,70.0,241.0,Slow,0.5,0.5,4.0,0.0,4.0,2.0,2.0,0.25,2.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,2.0,1.0
554,465,Tangrowth,4,Normal,Vine,1,Grass,None,2.0,128.6,3,Chlorophyll,Leaf Guard,Regenerator,535,100,100,125,110,50,50,30.0,70.0,187.0,Medium Fast,1.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
555,466,Electivire,4,Normal,Thunderbolt,1,Electric,None,1.8,138.6,2,Motor Drive,None,Vital Spirit,540,75,123,67,95,85,95,30.0,70.0,243.0,Medium Fast,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
556,467,Magmortar,4,Normal,Blast,1,Fire,None,1.6,68.0,2,Flame Body,None,Vital Spirit,540,75,95,67,125,95,83,30.0,70.0,243.0,Medium Fast,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
557,468,Togekiss,4,Normal,Jubilee,2,Fairy,Flying,1.5,38.0,3,Hustle,Serene Grace,Super Luck,545,85,50,95,120,115,80,30.0,70.0,245.0,Fast,1.0,1.0,1.0,2.0,0.5,2.0,0.25,2.0,0.0,1.0,1.0,0.25,2.0,1.0,0.0,0.5,2.0,1.0
558,469,Yanmega,4,Normal,Ogre Darner,2,Bug,Flying,1.9,51.5,3,Speed Boost,Tinted Lens,Frisk,515,86,76,86,116,56,95,30.0,70.0,180.0,Medium Fast,1.0,2.0,1.0,2.0,0.25,2.0,0.25,1.0,0.0,2.0,1.0,0.5,4.0,1.0,1.0,1.0,1.0,1.0
559,470,Leafeon,4,Normal,Verdant,1,Grass,None,1.0,25.5,2,Leaf Guard,None,Chlorophyll,525,65,110,130,60,65,95,45.0,35.0,184.0,Medium Fast,1.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
560,471,Glaceon,4,Normal,Fresh Snow,1,Ice,None,0.8,25.9,2,Snow Cloak,None,Ice Body,525,65,60,110,130,95,65,45.0,35.0,184.0,Medium Fast,1.0,2.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0
561,472,Gliscor,4,Normal,Fang Scorp,2,Ground,Flying,2.0,42.5,3,Hyper Cutter,Sand Veil,Poison Heal,510,75,95,125,45,75,95,30.0,70.0,179.0,Medium Slow,1.0,1.0,2.0,0.0,1.0,4.0,0.5,0.5,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0
562,473,Mamoswine,4,Normal,Twin Tusk,2,Ice,Ground,2.5,291.0,3,Oblivious,Snow Cloak,Thick Fat,530,110,130,80,70,60,80,50.0,70.0,239.0,Slow,1.0,2.0,2.0,0.0,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0
563,474,Porygon-Z,4,Normal,Virtual,1,Normal,None,0.9,34.0,3,Adaptability,Download,Analytic,535,85,80,70,135,75,90,30.0,70.0,241.0,Medium Fast,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
564,475,Gallade,4,Normal,Blade,2,Psychic,Fighting,1.6,52.0,2,Steadfast,None,Justified,518,68,125,65,65,115,80,45.0,35.0,233.0,Slow,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,2.0
565,475,Mega Gallade,4,Normal,Blade,2,Psychic,Fighting,1.6,56.4,1,Inner Focus,None,None,618,68,165,95,65,115,110,45.0,35.0,278.0,Slow,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,2.0
566,476,Probopass,4,Normal,Compass,2,Rock,Steel,1.4,340.0,3,Sturdy,Magnet Pull,Sand Force,525,60,55,145,75,150,40,60.0,70.0,184.0,Medium Fast,0.25,1.0,2.0,1.0,1.0,0.5,4.0,0.0,4.0,0.25,0.5,0.5,0.5,1.0,0.5,1.0,1.0,0.5
567,477,Dusknoir,4,Normal,Gripper,1,Ghost,None,2.2,106.6,2,Pressure,None,Frisk,525,45,100,135,65,135,45,45.0,35.0,236.0,Fast,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,1.0,1.0,1.0,0.5,1.0,2.0,1.0,2.0,1.0,1.0
568,478,Froslass,4,Normal,Snow Land,2,Ice,Ghost,1.3,26.6,2,Snow Cloak,None,Cursed Body,480,70,80,70,80,70,110,75.0,70.0,168.0,Medium Fast,0.0,2.0,1.0,1.0,1.0,0.5,0.0,0.5,1.0,1.0,1.0,0.5,2.0,2.0,1.0,2.0,2.0,1.0
569,479,Rotom,4,Normal,Plasma,2,Electric,Ghost,0.3,0.3,1,Levitate,None,None,440,50,50,77,95,77,91,45.0,70.0,154.0,Medium Fast,0.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,0.0,0.5,1.0,0.5,1.0,2.0,1.0,2.0,0.5,1.0
570,479,Heat Rotom,4,Normal,Plasma,2,Electric,Fire,0.3,0.3,1,Levitate,None,None,520,50,65,107,105,107,86,45.0,70.0,182.0,Medium Fast,1.0,0.5,2.0,0.5,0.5,0.5,1.0,1.0,0.0,0.5,1.0,0.5,2.0,1.0,1.0,1.0,0.25,0.5
571,479,Wash Rotom,4,Normal,Plasma,2,Electric,Water,0.3,0.3,1,Levitate,None,None,520,50,65,107,105,107,86,45.0,70.0,182.0,Medium Fast,1.0,0.5,0.5,1.0,2.0,0.5,1.0,1.0,0.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0
572,479,Frost Rotom,4,Normal,Plasma,2,Electric,Ice,0.3,0.3,1,Levitate,None,None,520,50,65,107,105,107,86,45.0,70.0,182.0,Medium Fast,1.0,2.0,1.0,0.5,1.0,0.5,2.0,1.0,0.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
573,479,Fan Rotom,4,Normal,Plasma,2,Electric,Flying,0.3,0.3,1,Levitate,None,None,520,50,65,107,105,107,86,45.0,70.0,182.0,Medium Fast,1.0,1.0,1.0,1.0,0.5,2.0,0.5,1.0,0.0,0.5,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0
574,479,Mow Rotom,4,Normal,Plasma,2,Electric,Grass,0.3,0.3,1,Levitate,None,None,520,50,65,107,105,107,86,45.0,70.0,182.0,Medium Fast,1.0,2.0,0.5,0.25,0.5,2.0,1.0,2.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.5,1.0
575,480,Uxie,4,Sub Legendary,Knowledge,1,Psychic,None,0.3,0.3,1,Levitate,None,None,580,75,75,130,75,130,95,3.0,140.0,261.0,Slow,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0
576,481,Mesprit,4,Sub Legendary,Emotion,1,Psychic,None,0.3,0.3,1,Levitate,None,None,580,80,105,105,105,105,80,3.0,140.0,261.0,Slow,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0
577,482,Azelf,4,Sub Legendary,Willpower,1,Psychic,None,0.3,0.3,1,Levitate,None,None,580,75,125,70,125,70,115,3.0,140.0,261.0,Slow,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0
